Page,URL,Rect,Context
2,https://www.facebook.com/watch/?v=1015675083782593,"(242.14337158203125, 256.26336669921875, 313.3578186035156, 266.08612060546875)","dos meses a más en sus recibos tosa X, Exitosa Facebook, Radio ón, Fuego, JHC, Santa Victoria, R"
2,http://imacorpplataforma.com/agua-y-saneamiento/sunass-1750-colegios-tienen-deudas-por-servicio-de-agua-entrevista-a-jose-patino-de-sunass-exitosa-radio-13-03-2025/,"(318.2691650390625, 256.26336669921875, 374.13568115234375, 266.08612060546875)","q en sus recibos y que 291 (5 % cebook, Radio Exitosa, Noticia anta Victoria, RPP, Kaliente, E"
2,https://sunassgobpe-my.sharepoint.com/:b:/g/personal/rgranados_sunass_gob_pe/EY_lTkgJqHFKlRNnOvtQPgUBAXInn8t9AHu5hB2M-huJeg?e=VvzKb9,"(379.0469970703125, 256.26336669921875, 442.89447021484375, 266.08612060546875)","q y que 291 (5 %) tenían el servic Exitosa, Noticias y punto, El Dato PP, Kaliente, Exitosa Chiclayo, L"
2,https://www.facebook.com/share/1AHHK9bqUw/,"(447.8057861328125, 256.26336669921875, 512.2671508789062, 266.08612060546875)","( ) enían el servicio cortado por y punto, El Dato Noticias, El osa Chiclayo, La Norteña, Más"
2,https://www.facebook.com/share/p/15uhgbqBc2/,"(517.1785278320312, 256.26336669921875, 525.159423828125, 266.08612060546875)","( ) cortado por oticias, El Norteña, Más"
2,https://www.facebook.com/share/p/15uhgbqBc2/,"(45.075775146484375, 266.08612060546875, 89.89177703857422, 275.9088134765625)","deuda. (Exitosa Yo Chiclayano, La Esq Noticias, Anota.pe,"
2,https://www.facebook.com/share/p/14x2NGKNBnM/,"(94.80310821533203, 266.08612060546875, 139.61911010742188, 275.9088134765625)","a. (Exitosa YouTube, Exito ayano, La Esquina, El Cicl cias, Anota.pe, Agua&Ambi"
2,https://sunassgobpe-my.sharepoint.com/:b:/g/personal/rgranados_sunass_gob_pe/EUfiQwWYOjNMhaieGTvb_IoB1dSFItYqrmg1_zTXpD0vyg?e=0bsZpa,"(144.5304412841797, 266.08612060546875, 180.13768005371094, 275.9088134765625)","YouTube, Exitosa TV, Exi squina, El Ciclón, El Cicl e, Agua&Ambiente, Verd"
2,https://www.facebook.com/photo?fbid=666463449225250&set=pcb.666463792558549,"(185.0490264892578, 266.08612060546875, 220.65625, 275.9088134765625)","Exitosa TV, Exitosa X, Ex Ciclón, El Ciclón, Fuego Ambiente, Verde.pe, Rep"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid02nK1fuT4d3tmYqCABhCE3ZpzFEEaC3k5UWvVx5YHafhfm95e3iM6Dxepq96DH9Vo9l&id=100065273659654,"(520.8619995117188, 266.08612060546875, 537.4378051757812, 275.9088134765625)","p oticias, El orteña, Más"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid02nK1fuT4d3tmYqCABhCE3ZpzFEEaC3k5UWvVx5YHafhfm95e3iM6Dxepq96DH9Vo9l&id=100065273659654,"(45.075775146484375, 275.9088134765625, 76.99949645996094, 285.73150634765625)","( Chiclayano, La Noticias, Anota."
2,https://www.facebook.com/permalink.php?story_fbid=pfbid0sKx2bpDVVxqgAwD1ie1nQjcmVSddvdXvawS4X48db4yjY1dMRm6JgaANfrcGtbZkl&id=100064089484737,"(81.91083526611328, 275.9088134765625, 118.1319808959961, 285.73150634765625)","( hiclayano, La Esquina, E oticias, Anota.pe, Agua&"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid0nJMj5TS8v2nxEykc9dXwFMpzARgXjdjff5W7oTqeBQb8HRMgps8pujw1QtoRrphhl&id=100072108931277,"(123.04332733154297, 275.9088134765625, 188.1186065673828, 285.73150634765625)","La Esquina, El Ciclón, El Ciclón ota.pe, Agua&Ambiente, Verde."
2,https://www.facebook.com/permalink.php?story_fbid=pfbid02XNebYvPc8wCdjrFD1GAT9pHYD1hpQPxPordzAJGmvscYgT9NYpKbS2PL9y9XHNftl&id=100062993063417,"(193.02993774414062, 275.9088134765625, 229.25108337402344, 285.73150634765625)","iclón, El Ciclón, Fuego, J mbiente, Verde.pe, Report"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid02K7agg7fugZKVWQ7c5egzX6SiNTsYH1qoaZXEQxJ2SYd7pEPfPhQBvnE1ubXumpTZl&id=100063616446639,"(234.1624298095703, 275.9088134765625, 300.4655456542969, 285.73150634765625)","clón, Fuego, JHC, Santa Victoria rde.pe, Reporteros Perú, Digital"
2,https://www.facebook.com/permalink.php?story_fbid=pfbid0YZ8AbysMpEsCc1UoLi86FCxrvnMeFN5XsLkCPLKRShCBijqyHJshp1gVGCj97oYYl&id=61559613183648,"(305.37689208984375, 275.9088134765625, 355.7181396484375, 285.73150634765625)",", Santa Victoria, RPP, Kalien s Perú, Digital Press)"
2,https://revelacion.pe/2025/03/12/92-colegios-tienen-deuda-por-agua-potable/,"(366.15472412109375, 333.0031433105469, 410.3568115234375, 342.8258056640625)","s públicos, ubicados en el á (Diario Revelación, San M s AQP, Polémica y Noticias"
